estudiante_id,genero,nse,region,capacidad_score,capacidad_nivel,rama_real,opcion_real,opcion_numero,motivacion_principal,presion_familiar,consistencia,fase1_p01,fase1_p02,fase1_p03,fase1_p04,fase1_p05,fase1_p06,fase1_p07,fase1_p08,fase1_p09,fase1_p10,fase1_p11,fase1_p12,fase1_p13,fase1_p14,fase1_p15,fase1_p16,fase1_p17,fase1_p18,fase1_p19,fase1_p20,fase1_p21,fase1_p22,fase1_p23,fase1_p24,fase1_p25,fase1_p26,fase1_p27,fase1_p28,fase1_p29,fase1_p30,fase1_p31,fase1_p32,fase1_p33,fase1_p34,fase1_p35,fase1_p36,fase1_p37,fase1_p38,fase1_p39,fase1_p40,fase1_p41,fase1_p42,fase1_p43,fase1_p44,fase1_p45,fase1_p46,fase1_p47,fase1_p48,fase1_p49,fase1_p50,fase1_p51,fase1_p52,fase1_p53,fase1_p54,fase1_p55,fase1_p56,fase1_p57,fase1_p58,fase1_p59,fase1_p60,fase1_p61,fase1_p62,fase1_p63,fase1_p64,fase1_p65,fase1_p66,fase1_p67,fase1_p68,fase1_p69,fase1_p70,fase1_p71,fase1_p72,fase1_p73,fase1_p74,fase1_p75,fase1_p76,fase1_p77,fase1_p78,fase1_p79,fase1_p80,fase2_p01,fase2_p02,fase2_p03,fase2_p04,fase2_p05,fase2_p06,fase2_p07,fase2_p08,fase2_p09,fase2_p10,fase2_p11,fase2_p12,fase2_p13,fase2_p14,fase2_p15,fase2_p16,fase2_p17,fase2_p18,fase2_p19,fase2_p20,fase2_p21,fase2_p22,fase2_p23,fase2_p24,fase2_p25,fase2_p26,fase2_p27,fase2_p28,fase2_p29,fase2_p30,fase2_p31,fase2_p32,fase2_p33,fase2_p34,fase2_p35,fase2_p36,fase2_p37,fase2_p38,fase2_p39,fase2_p40,fase2_p41,fase2_p42,fase2_p43,fase2_p44,fase2_p45,fase2_p46,fase2_p47,fase2_p48,fase2_p49,fase2_p50,fase2_p51,fase2_p52,fase2_p53,fase2_p54,fase2_p55,fase2_p56,fase2_p57,fase2_p58,fase2_p59,fase2_p60,fase2_p61,fase2_p62,fase2_p63,fase2_p64,fase2_p65,fase2_p66,fase2_p67,fase2_p68,fase2_p69,fase2_p70,fase2_p71,fase2_p72,fase2_p73,fase2_p74,fase2_p75,fase2_p76,fase2_p77,fase2_p78,fase2_p79,fase2_p80
11,M,medio_alto,sur,0.684,media,Oficios_Tecnicos,TEC_SIS,17,balance_vida_trabajo,0.291,0.826,B,D,D,B,B,B,B,B,B,A,B,D,C,A,B,D,B,D,C,D,A,B,C,C,E,B,A,C,B,D,B,E,B,D,B,B,E,C,C,A,E,B,D,B,C,B,C,A,B,D,C,C,A,D,E,B,A,C,B,B,B,B,C,C,D,B,C,C,A,B,D,C,D,B,E,A,D,C,E,C,B,B,D,B,B,C,B,B,B,D,D,B,B,C,B,B,E,C,B,C,B,B,D,B,B,B,B,B,B,E,B,B,B,B,B,B,B,B,B,B,B,E,D,D,B,B,B,B,D,B,D,B,A,C,C,D,C,B,C,B,B,B,B,B,B,B,D,B,B,B,B,D,E,B,D,B,D,B,B,B
12,M,bajo,norte,0.609,media,Oficios_Basicos,ALBANIL,21,estabilidad_economica,0.545,0.666,E,D,D,B,B,B,B,D,C,E,D,A,C,D,B,A,B,D,D,B,A,B,D,C,D,C,E,C,C,C,D,B,A,A,A,B,D,C,D,A,B,C,D,A,C,D,C,B,B,D,C,D,B,B,B,B,C,C,B,C,B,C,C,B,B,D,C,B,D,B,B,C,E,B,B,A,E,A,D,C,C,C,A,E,A,A,A,A,A,B,A,C,A,C,A,A,A,A,A,C,B,A,B,A,D,C,A,B,A,A,A,B,A,D,A,B,C,B,B,B,A,A,B,C,A,A,B,A,A,A,C,A,A,C,A,B,A,A,A,B,D,A,A,D,A,A,A,A,C,B,A,A,A,A,A,A,A,B,C,A
13,M,medio,pacifico,1.298,media_alta,Negocios,MKT,13,estabilidad_economica,0.397,0.674,D,D,E,B,C,B,B,D,B,E,C,A,D,D,B,D,B,E,A,B,A,B,A,C,C,A,C,C,B,C,A,E,B,C,B,B,C,C,C,A,E,B,D,B,C,A,C,B,B,C,C,E,A,D,B,B,C,C,C,A,B,C,C,A,B,B,C,B,C,B,D,C,C,B,C,A,D,A,D,C,C,C,C,C,C,B,B,C,C,C,C,C,C,C,C,C,C,E,A,C,C,B,B,C,C,C,A,C,A,B,C,C,C,C,C,A,C,C,C,C,B,C,C,C,C,C,E,C,C,C,C,C,C,C,D,B,C,C,C,C,C,C,C,C,C,C,C,C,D,C,C,C,C,C,C,B,C,D,C,C
14,F,alto,pacifico,0.918,media_alta,Salud,NUT,3,prestigio_social,0.772,0.753,E,D,D,A,B,B,B,A,B,B,A,B,D,B,B,A,B,A,C,A,A,B,A,C,D,B,A,C,B,A,B,A,B,A,B,B,D,C,A,A,B,B,A,C,C,C,C,D,B,D,C,A,C,B,A,B,E,C,E,A,B,A,C,B,B,A,C,B,E,B,C,C,A,B,C,A,A,C,D,C,C,C,C,C,C,C,C,B,C,C,C,B,E,C,C,C,C,C,A,C,B,C,C,C,D,C,C,C,B,C,B,C,B,A,D,C,C,C,C,C,C,C,C,C,C,B,B,C,C,C,C,A,C,A,C,C,E,B,C,C,C,B,C,B,D,C,C,C,C,C,B,B,C,C,A,C,D,C,C,C
15,F,medio,pacifico,1.4,alta,Ingenieria,CIV,9,balance_vida_trabajo,0.316,0.658,D,A,D,B,C,B,B,D,A,D,A,E,C,D,B,B,B,B,B,C,D,B,E,C,C,B,B,C,B,B,C,D,B,D,C,B,D,C,C,A,D,B,B,B,C,B,C,B,B,B,C,D,B,B,B,B,B,C,B,C,B,C,C,D,A,B,C,B,C,B,B,C,B,B,D,A,B,A,B,C,D,D,D,D,B,D,D,A,D,E,D,D,B,D,D,E,D,D,D,D,E,D,A,C,A,D,D,D,E,D,D,C,D,D,C,C,B,D,D,E,D,B,C,D,D,A,C,B,D,B,D,C,D,D,D,B,C,D,D,D,D,C,C,D,B,E,D,D,D,C,D,D,D,D,D,E,D,D,B,D
16,F,medio,pacifico,0.659,media,Oficios_Basicos,VENDEDOR,24,crecimiento_profesional,0.519,0.913,C,E,D,A,C,B,B,D,D,C,A,D,C,E,C,E,B,D,C,E,D,B,C,C,D,B,E,C,B,B,B,A,B,E,A,B,D,C,A,A,B,B,E,B,C,B,C,A,B,E,C,D,A,D,D,B,D,C,D,A,B,D,C,B,A,B,C,B,D,B,E,C,C,B,D,A,E,A,B,C,D,D,D,D,D,D,D,C,D,D,D,D,D,B,E,B,D,B,D,D,B,D,D,D,A,D,D,A,D,D,D,D,D,A,A,D,D,C,D,D,D,D,C,D,C,D,D,D,A,D,D,B,D,D,E,D,A,D,C,B,D,D,D,D,C,D,D,D,D,D,D,B,D,B,D,D,D,B,D,D
17,F,medio_alto,sur,0.397,media_baja,Oficios_Basicos,CHOFER,22,balance_vida_trabajo,0.414,0.726,A,D,E,B,C,B,B,E,A,A,B,E,C,D,B,D,B,E,D,D,A,B,D,C,E,B,D,C,B,D,D,E,A,E,C,B,E,C,E,A,B,B,B,B,C,D,C,D,A,D,C,D,C,D,D,B,E,C,B,C,B,D,C,A,C,D,C,B,C,B,B,C,D,B,E,A,B,A,D,C,A,B,B,B,C,B,B,B,A,B,B,C,B,B,B,B,D,A,C,B,A,B,B,B,B,B,B,C,B,B,C,B,B,B,B,D,B,B,B,B,A,B,B,D,B,D,D,D,B,B,D,A,A,B,C,D,B,B,B,B,B,B,E,B,B,E,B,B,B,B,B,B,D,B,D,B,B,B,A,E
18,M,bajo,sur,0.315,baja,Oficios_Basicos,CHOFER,22,empleabilidad_rapida,0.347,0.756,E,D,D,C,E,E,D,E,E,D,C,D,E,D,C,D,C,D,C,E,E,D,B,A,D,D,D,B,E,D,E,E,A,D,C,A,B,E,B,C,D,D,C,D,E,C,E,E,C,D,A,D,B,C,B,C,E,D,D,A,E,A,A,A,B,D,B,D,B,A,D,E,E,E,C,C,D,D,D,B,C,D,B,D,C,C,B,E,B,B,B,B,C,B,B,B,B,B,B,B,D,C,B,B,B,B,B,B,A,B,B,B,B,C,A,B,D,B,C,C,B,B,D,B,B,B,E,A,B,B,A,B,B,B,D,B,B,D,D,C,C,B,B,C,B,B,B,B,B,E,D,B,B,B,E,C,B,B,B,B
19,F,medio,sur,0.418,media_baja,Oficios_Tecnicos,TEC_SIS,17,crecimiento_profesional,0.552,0.676,E,D,D,A,D,B,B,D,B,E,D,E,C,D,B,D,B,D,C,D,A,B,D,C,E,C,D,C,B,D,A,E,B,B,C,B,D,C,A,A,D,B,D,D,C,D,C,D,B,D,C,A,A,B,C,B,E,C,E,B,B,D,C,D,C,D,C,B,B,B,D,C,E,B,A,A,E,A,D,C,B,D,B,B,B,B,D,E,B,B,B,B,A,D,D,B,B,B,B,B,B,B,B,A,B,B,B,D,B,B,B,B,B,B,B,B,B,B,C,B,B,B,B,B,A,B,B,B,E,B,B,D,B,B,D,E,D,C,B,D,B,B,B,B,B,B,C,D,D,C,B,B,B,B,D,B,B,B,B,B
20,M,medio_alto,sur,0.318,media_baja,Oficios_Tecnicos,TEC_ENF,16,crecimiento_profesional,0.578,0.654,D,E,A,B,C,B,B,B,B,E,C,D,C,D,B,E,B,C,B,D,D,B,B,C,D,B,D,C,C,D,A,C,B,E,D,B,D,C,E,A,D,B,A,B,C,E,C,C,B,D,C,E,B,D,D,B,D,C,A,C,B,D,C,E,D,E,C,B,C,B,D,C,D,B,A,A,E,D,C,C,A,B,A,E,B,A,C,A,A,D,D,A,A,A,A,B,A,A,A,A,D,B,A,D,E,A,A,A,A,A,A,A,E,B,A,E,B,A,D,B,D,A,A,A,A,B,D,B,A,A,A,A,A,E,C,B,C,B,A,C,A,A,D,A,A,D,A,A,A,C,D,A,A,D,D,A,D,B,D,D
21,M,bajo,centro,0.792,media_baja,Oficios_Tecnicos,TEC_AUTO,20,empleabilidad_rapida,0.404,0.656,B,D,D,A,B,B,B,C,A,A,D,B,C,D,C,D,B,E,B,D,A,B,A,C,B,B,D,C,B,D,C,B,B,A,D,B,D,C,E,A,A,B,C,D,C,A,C,B,B,A,C,D,D,D,A,B,E,C,B,B,B,D,C,E,A,D,C,C,D,B,E,C,E,B,C,A,D,C,C,C,B,E,B,D,B,E,E,E,A,B,E,C,C,E,D,B,E,A,B,E,E,B,C,C,E,C,E,E,A,C,E,E,C,E,C,E,C,E,E,E,A,B,E,E,E,E,B,B,B,E,E,E,E,E,B,E,E,E,D,E,B,B,E,C,C,A,E,E,A,B,D,B,C,E,C,C,A,E,E,A
22,F,bajo,centro,0.67,media,Oficios_Tecnicos,TEC_AUTO,20,ayudar_familia,0.593,0.912,E,D,D,A,B,B,A,D,B,B,A,E,C,D,B,D,B,E,B,E,A,B,D,C,D,A,D,C,B,C,B,A,B,E,B,B,D,C,C,A,D,B,A,A,C,D,C,D,B,D,C,A,C,B,C,B,E,C,C,B,B,C,C,E,A,C,C,C,B,B,E,C,E,B,C,A,E,D,C,C,D,E,D,E,E,B,B,E,C,E,E,E,E,E,B,E,D,E,B,E,E,B,B,E,E,E,E,E,E,E,D,E,D,E,D,D,E,E,E,E,C,B,E,E,E,A,D,C,C,E,E,E,B,D,E,A,B,E,C,E,C,E,B,C,E,E,E,E,C,E,E,E,E,E,D,E,C,B,E,D
23,F,medio,sur,0.817,media,Ingenieria,CIV,9,crecimiento_profesional,0.564,0.743,E,E,D,A,C,B,B,B,B,D,D,A,C,A,B,D,B,B,C,B,A,B,B,C,B,A,B,C,B,C,B,B,A,B,A,B,E,C,A,A,B,B,B,C,C,D,C,D,B,D,C,B,D,B,D,B,B,C,A,B,B,D,C,B,B,E,C,B,B,B,E,C,E,B,D,A,E,C,B,C,D,E,D,D,D,D,D,B,C,D,D,B,A,D,C,D,D,E,D,D,B,D,D,D,E,B,D,D,D,D,D,D,D,C,D,C,E,D,D,D,D,D,D,D,C,D,C,D,D,D,D,D,D,D,C,A,D,D,D,A,D,D,D,D,D,C,A,E,C,D,D,A,D,C,C,D,D,B,D,D
24,F,medio,pacifico,0.444,media,Salud,MED,1,crecimiento_profesional,0.378,0.826,E,A,E,C,B,B,A,B,B,B,C,E,D,B,B,D,B,D,B,C,D,B,D,C,A,A,A,C,B,E,C,C,B,E,B,B,D,C,A,A,A,B,D,A,C,C,C,D,B,D,C,D,D,B,A,B,E,C,A,B,B,A,C,C,D,D,C,B,C,B,E,C,C,B,A,A,D,B,A,C,A,A,B,A,A,A,A,C,A,D,A,A,A,D,D,A,E,C,C,B,A,A,B,D,B,C,A,E,D,B,A,B,A,A,B,B,C,E,A,A,A,A,D,B,A,B,A,C,D,A,A,A,A,A,A,C,A,A,A,A,A,A,A,D,A,A,C,C,A,A,E,E,A,A,C,D,A,B,B,B
25,M,bajo,pacifico,0.43,media_baja,Oficios_Basicos,CHOFER,22,ayudar_familia,0.54,0.678,E,D,C,A,C,B,B,D,A,A,B,E,C,D,C,E,B,E,B,D,A,B,D,C,D,C,C,C,B,E,B,B,B,D,D,B,D,C,E,A,D,C,D,A,C,D,C,E,B,C,C,D,C,B,E,B,A,C,E,B,B,C,C,D,D,A,C,B,D,B,D,C,E,B,D,A,E,D,D,C,B,B,B,C,B,B,B,E,B,B,B,A,B,B,B,B,B,B,B,B,D,D,A,B,B,D,B,B,B,B,B,B,B,B,B,E,E,B,B,C,C,B,B,B,C,B,B,B,B,B,B,B,B,B,B,E,B,B,B,E,D,B,B,E,B,B,A,B,E,B,B,C,B,D,B,B,B,B,B,A
26,F,medio,centro,0.622,media_baja,Ingenieria,ELEC,7,crecimiento_profesional,0.697,0.831,E,D,B,C,C,B,B,D,C,A,A,E,C,C,B,B,B,C,D,B,A,B,D,C,B,B,B,C,C,B,C,B,B,B,B,B,D,C,B,A,B,B,B,C,C,B,C,B,A,B,C,B,C,B,B,B,B,C,D,B,B,C,C,B,B,B,C,B,B,B,D,C,B,B,B,A,B,B,B,C,B,B,A,B,C,B,B,B,B,B,A,A,B,B,D,B,B,B,D,B,B,B,B,B,E,B,B,B,E,B,C,B,C,B,B,D,D,B,E,B,B,B,B,B,B,E,B,B,B,B,B,B,B,E,B,C,D,B,B,B,E,B,B,C,B,E,B,B,B,B,B,B,D,B,B,D,C,B,C,B
27,F,bajo,sur,0.477,media,Oficios_Tecnicos,TEC_ENF,16,estabilidad_economica,0.279,0.721,E,D,D,A,B,B,B,D,D,A,B,B,C,D,B,E,B,A,A,D,A,B,D,C,C,A,D,C,C,D,A,D,B,D,A,C,C,C,D,A,E,B,B,A,C,D,C,E,B,B,C,E,B,B,A,B,D,C,E,C,B,D,C,A,B,D,C,C,D,B,D,C,E,B,C,A,E,A,D,C,A,C,A,A,D,A,A,A,A,C,A,A,A,A,B,E,A,A,A,A,D,A,A,A,A,A,A,A,C,A,D,B,A,C,C,A,C,B,B,B,A,C,C,B,A,D,A,C,B,B,A,A,C,A,A,A,A,E,A,C,D,B,C,A,B,E,A,C,A,C,A,C,A,C,D,C,A,A,A,B
28,F,medio,centro,0.894,media,Ingenieria,ARQ,10,balance_vida_trabajo,0.525,0.937,D,B,D,A,C,B,B,D,B,A,B,A,C,A,B,B,B,B,C,A,A,B,B,C,B,B,B,C,C,B,A,B,A,B,D,B,B,C,B,A,D,C,D,B,C,A,C,B,A,B,C,B,B,B,B,B,D,C,B,C,B,D,C,B,A,B,C,B,D,B,D,C,C,B,D,A,B,B,B,C,E,E,E,E,D,C,B,E,E,D,B,B,E,E,B,B,E,C,E,B,E,E,C,E,B,E,E,E,E,E,B,D,A,E,C,E,D,E,E,E,C,D,D,E,C,E,E,C,E,E,D,E,E,D,E,A,E,A,B,E,E,D,E,E,B,E,E,E,E,E,E,E,D,E,E,E,B,E,D,E
29,F,alto,norte,1.585,alta,Ingenieria,ARQ,10,prestigio_social,0.791,0.904,D,B,C,A,D,B,B,A,B,B,A,A,C,B,B,D,B,B,B,B,A,B,E,C,B,A,B,C,C,B,A,B,B,B,A,B,B,C,C,A,B,B,B,B,C,B,C,B,B,B,C,D,A,B,B,B,B,C,B,A,B,C,C,B,B,B,C,B,B,B,D,C,B,B,B,A,D,B,D,C,E,D,D,E,D,B,E,E,B,B,D,E,A,B,E,B,E,E,D,B,E,E,D,E,E,E,E,E,E,E,E,A,E,D,E,C,E,D,B,E,E,E,E,C,E,E,E,B,E,E,E,E,D,D,C,E,D,D,E,E,D,B,B,D,E,D,E,E,E,E,D,A,E,B,B,A,C,C,C,C
30,F,medio,norte,0.727,media,Oficios_Tecnicos,ELEC_IND,18,estabilidad_economica,0.271,0.856,B,D,D,A,E,B,B,E,D,A,C,A,C,E,B,D,B,E,B,D,A,B,E,C,E,B,A,C,C,C,C,D,B,D,A,C,A,C,C,A,B,B,E,B,C,B,C,B,B,B,C,E,B,B,D,B,C,C,C,B,B,E,C,D,C,C,C,B,E,B,D,C,B,B,C,A,E,C,D,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,B,C,C,C,C,C,C,C,C,C,C,C,C,E,B,D,B,C,D,C,C,D,C,C,C,C,C,A,C,B,B,C,C,C,C,C,C,C,C,C,D,B,B,C,C,C,D,D,C,C,C,B,B,D,A,C,C,C,C,C,C,E,C,C,D,C
31,F,medio_alto,centro,1.13,media_alta,Ingenieria,ARQ,10,crecimiento_profesional,0.642,0.936,E,A,B,B,C,B,A,B,B,D,A,C,C,D,B,D,B,B,A,D,A,B,B,C,B,A,D,C,B,D,C,E,B,D,C,B,B,C,D,A,B,C,D,C,C,B,C,D,B,A,C,A,B,B,D,B,A,C,B,A,B,B,C,B,B,D,C,B,B,B,C,C,B,B,B,A,D,A,B,C,D,E,C,E,E,E,B,E,E,B,C,E,A,D,E,E,D,B,C,E,E,E,E,E,A,E,E,C,B,A,E,B,E,E,E,B,E,D,C,E,C,B,A,E,C,C,B,B,E,B,C,E,A,C,E,E,B,D,E,E,D,D,D,E,C,E,E,B,D,E,D,C,D,C,C,E,A,B,B,E
